,county,cases,deaths
1120,Charleston,1,0
1121,Kershaw,7,0
1122,Spartanburg,1,0
1123,Beadle,1,0
1124,Charles Mix,1,0
1125,Davison,2,1
1126,Minnehaha,1,0
1127,Davidson,1,0
1128,Shelby,1,0
1129,Sullivan,1,0
1130,Williamson,4,0
1131,Bexar,11,0
1132,Collin,3,0
1133,Dallas,2,0
1134,Fort Bend,6,0
1135,Harris,7,0
1136,Montgomery,1,0
1137,Tarrant,1,0
1138,Davis,1,0
1139,Salt Lake,1,0
1140,Washington,1,0
1141,Weber,1,0
1142,Bennington,1,0
1143,Fairfax,4,0
1144,Loudoun,2,0
1145,Virginia Beach city,2,0
1146,Chelan,1,1
1147,Clark,1,0
1148,Jefferson,1,0
1149,King,191,23
1150,Kitsap,2,0
1151,Kittitas,1,0
1152,Pierce,14,0
1153,Skagit,1,0
1154,Snohomish,61,0
1155,Spokane,4,0
1156,Walla Walla,1,0
1157,Whatcom,1,0
1158,Dane,2,0
1159,Pierce,1,0
1160,Maricopa,3,0
1161,Pima,1,0
1162,Pinal,5,0
1163,Jefferson,1,0
1164,Alameda,25,0
1165,Contra Costa,9,0
1166,Fresno,1,0
1167,Humboldt,1,0
1168,Los Angeles,28,1
1169,Madera,1,0
1170,Marin,4,0
1171,Napa,1,0
1172,Orange,6,0
1173,Placer,7,1
1174,Riverside,4,0
1175,Sacramento,9,1
1176,San Diego,2,0
1177,San Francisco,17,0
1178,San Joaquin,1,0
1179,San Mateo,15,0
1180,Santa Clara,48,1
1181,Santa Cruz,2,0
1182,Shasta,1,0
1183,Solano,12,0
1184,Sonoma,3,0
1185,Stanislaus,2,0
1186,Ventura,2,0
1187,Yolo,1,0
1188,Arapahoe,3,0
1189,Denver,6,0
1190,Douglas,3,0
1191,Eagle,4,0
1192,El Paso,1,0
1193,Gunnison,3,0
1194,Jefferson,4,0
1195,Larimer,1,0
1196,Pitkin,9,0
1197,Fairfield,3,0
1198,New Castle,1,0
1199,District of Columbia,10,0
1200,Alachua,1,0
1201,Broward,5,0
1202,Charlotte,1,0
1203,Collier,3,0
1204,Hillsborough,2,0
